text,sentiment
@bukansenudes tunggu ya masih psbb,netral
~ ngerti taaahh saiki?!?! 😌 Sc: ig kulinerdisolo  #psbb #psbbuntukkitasehat #terikatancinta #konspirasi2021 #jasaartikel #jasaartikelinggris  https://t.co/es6jrE7ouD,netral
"@tempodotco Situasi makin gawat, PSBB sdh berjalan seminggu malah yg positip melonjak, artinya PSBB tdk mempan.  Pemerintah @jokowi hrs segera bertindak yg jauh lbh ketat seblm kasus meledak. Lihat China, hanya positip 115, 4 kota dilockdown. Seandainya, awal kasus msh kecil Ind ketat,,,?",negatif
Sabtu  Hari raya rindu Barangkali PSBB berlalu kita bisa bertemu ? Martabak manis kesukaanmu Dan secangkir kopi favorulitku,positif
Paket kok ga update2 dari tgl 14 masa cuma sampe bandung terus. Pdahal estimasi smpe tgl 15 januari lo. Jgn bilang psbb. Karena ekspedisi lain semua mengalami psbb tapi bisa sampe tepat waktu. Tolong tingkatin pelayanannya. Kalo ada pilihan lain mah @JNECare,negatif
PSBB hari ke-enam..  https://t.co/Jgb57g75fb,netral
"@JogjaUpdate Jogja ora psbb, tp psim",negatif
"Sudah sabtu nih, masih PSBB. Kalau bosen dirumah, biasanya pain?? Cerita donk di #BaliSelamatPagi sekalian request lagu!!!  Nama umur alamat Pendapat Lagu!!  https://t.co/hAqJy7Hgl6",netral
@antaranews @RubenLumalessi1 Cuma sekolah yg psbb.....lainnya nol ...bodoh luuu,negatif
"@heavensighs @_seaturtle084 Wkwk apanya di besar2rin wong mereka emang mlnggar kok.. pas psbb diperketat ngumpul2, yg sudah di vaksin ikut ngumpul jg. Haddeh",positif
"@lutfimuhamad_ BETUL,HRS.PSBB NEW NOEMAL...KALAU KARANG PSBB.DIPERKETAT RAFI.AND AHOK ...HARUS NYA PASALNYA LEBIH DAHSAT......HUKUMANNYA SEUMUR HIDUP.😭😭😭😭😭😭😭😭😭🤣🤣🤣🤣🤣🤣🤣🤣 DUNIA....DAGELAN...",negatif
"@obeyajaa @taufiqrus Kok mbanya tidak mengomentari tentang tweet awal dari @taufiqrus tentang perbandingan masa psbb transisi dan diperketat, bukannya keduanya sama aja yaitu penyelenggaraan kekarantinaan kesehatan ? Bukannya mbanya sering mengomentari tentang penggunaan istilah 🙏",netral
"@labuerlenmeyerr nerapin psbb sebatas tutup sebelum jam malam (jam 9), pembatasan 50% pengunjung gitu gitu ga berlaku keknya",negatif
@JogjaUpdate di Jogja namanya PSTKM bukan PSBB 😊   https://t.co/wl8baSCLe4,positif
@apiip___ kalau tempat makan yang dipinggir jalan gitu gimana? nerapin psbb gak?,netral
@y_rensa @frhdriaan untung lg psbb wkwkkw,positif
"Realita PSBB yg terus2an dicuekin oleh @aniesbaswedan @jokowi @ridwankamil @ganjarpranowo @KhofifahIP : Rakyat level bawah ga bener2 peduli PSBB. Bansos dilain pihak, sangat yummy. Dan Rumah Sakit tetep klepek2.  Mending dari awal: Perkuat RS. Lupakan PSBB.. Tanya RS butuh apa!  https://t.co/jgE8HGo6wq",negatif
"*merenungi smt ini* perasaan baru kmrn pandemi, psbb, uts, uas, liburan smt. kok skrg udh menjelang uas lagi aja.  https://t.co/in9gCJiVSL",netral
PSBB ga ada salahnya kan via virtual PDKT?,netral
"Rafi &amp; Ahok harus ditangkap, sebab ada pelanggaran berat saat PSBB. Sedangkan IBHRS aja udah Bayar denda, minta ma'af masih juga dijadikan tersangka.",negatif
"Nunggu selesai psbb untuk bisa ke malang :""(((",negatif
@Askrlfess naik kereta pas psbb gini gimana ya 🤔 2 bangku di isi 1 orang kali ya,netral
Dugaan saya Ahok dan Raffi Achmad akan dihukum lebih berat krn pemerintah lg menjalankan PSBB,positif
Emang nih yah semua kerjaan di reschedule grgr psbb psbb an,negatif
iya psbb  https://t.co/XSXFOntBAY,positif
@camaays Salah satu hal yg fana ketika PSBB :(,negatif
seberapa ngaruh psbb di kota kalian? di kotaku ko kaya gaada psbb ya😭,negatif
this is the right time to go back to ‘home’ ✨  *nunggu psbb kelar*,positif
