emoticon,convert_emoji,translate_emoji,cleaned,tokenize,normalization,stemmed,stopwords_stemmed,text_string_stemmed,label
@bukansenudes tunggu ya masih psbb,tunggu ya masih psbb,tunggu ya masih psbb,tunggu ya masih psbb,"['tunggu', 'ya', 'masih', 'psbb']","['tunggu', 'ya', 'masih', 'psbb']","['tunggu', 'ya', 'masih', 'psbb']",['tunggu'],tunggu,netral
~ ngerti taaahh saiki?!?! 😌 Sc: ig kulinerdisolo  #psbb #psbbuntukkitasehat #terikatancinta #konspirasi2021 #jasaartikel #jasaartikelinggris  https://t.co/es6jrE7ouD,~ ngerti taaahh saiki?!?! relieved_face Sc ig kulinerdisolo https //t.co/es6jrE7ouD,~ ngerti taaahh saiki?!?! wajah lega. Sc ig kulinerdisolo https //t.co/es6jrE7ouD, ngerti taaahh saiki wajah lega sc ig kulinerdisolo   tcoes jre oud,"['ngerti', 'taaahh', 'saiki', 'wajah', 'lega', 'sc', 'ig', 'kulinerdisolo', 'tcoes', 'jre', 'oud']","['ngerti', 'taaahh', 'saiki', 'wajah', 'lega', 'sc', 'ig', 'kulinerdisolo', 'tcoes', 'jre', 'oud']","['ngerti', 'taaahh', 'saiki', 'wajah', 'lega', 'sc', 'ig', 'kulinerdisolo', 'tcoes', 'jre', 'oud']","['ngerti', 'taaahh', 'saiki', 'lega', 'sc', 'ig', 'kulinerdisolo', 'tcoes', 'jre', 'oud']",ngerti taaahh saiki lega sc ig kulinerdisolo tcoes jre oud,netral
"@tempodotco Situasi makin gawat, PSBB sdh berjalan seminggu malah yg positip melonjak, artinya PSBB tdk mempan.  Pemerintah @jokowi hrs segera bertindak yg jauh lbh ketat seblm kasus meledak. Lihat China, hanya positip 115, 4 kota dilockdown. Seandainya, awal kasus msh kecil Ind ketat,,,?","Situasi makin gawat, PSBB sdh berjalan seminggu malah yg positip melonjak, artinya PSBB tdk mempan. Pemerintah hrs segera bertindak yg jauh lbh ketat seblm kasus meledak. Lihat China, hanya positip 115, 4 kota dilockdown. Seandainya, awal kasus msh kecil Ind ketat,,,?","Situasi makin gawat, PSBB sdh berjalan seminggu malah yg positip melonjak, artinya PSBB tdk mempan. Pemerintah hrs segera bertindak yg jauh lbh ketat seblm kasus meledak. Lihat China, hanya positip 115, 4 kota dilockdown. Seandainya, awal kasus msh kecil Ind ketat,,,?",situasi makin gawat psbb sdh berjalan seminggu malah yg positip melonjak artinya psbb tdk mempan pemerintah hrs segera bertindak yg jauh lbh ketat seblm kasus meledak lihat china hanya positip     kota dilockdown seandainya awal kasus msh kecil ind ketat,"['situasi', 'makin', 'gawat', 'psbb', 'sdh', 'berjalan', 'seminggu', 'malah', 'yg', 'positip', 'melonjak', 'artinya', 'psbb', 'tdk', 'mempan', 'pemerintah', 'hrs', 'segera', 'bertindak', 'yg', 'jauh', 'lbh', 'ketat', 'seblm', 'kasus', 'meledak', 'lihat', 'china', 'hanya', 'positip', 'kota', 'dilockdown', 'seandainya', 'awal', 'kasus', 'msh', 'kecil', 'ind', 'ketat']","['situasi', 'makin', 'gawat', 'psbb', 'sudah', 'berjalan', 'seminggu', 'malah', 'yg', 'positip', 'melonjak', 'artinya', 'psbb', 'tidak', 'mempan', 'pemerintah', 'hrs', 'segera', 'bertindak', 'yg', 'jauh', 'lbh', 'ketat', 'seblm', 'kasus', 'meledak', 'lihat', 'china', 'hanya', 'positip', 'kota', 'dilockdown', 'seandainya', 'awal', 'kasus', 'msh', 'kecil', 'ind', 'ketat']","['situasi', 'makin', 'gawat', 'psbb', 'sudah', 'jalan', 'minggu', 'malah', 'yg', 'positip', 'lonjak', 'arti', 'psbb', 'tidak', 'mempan', 'perintah', 'hrs', 'segera', 'tindak', 'yg', 'jauh', 'lbh', 'ketat', 'seblm', 'kasus', 'ledak', 'lihat', 'china', 'hanya', 'positip', 'kota', 'dilockdown', 'anda', 'awal', 'kasus', 'msh', 'kecil', 'ind', 'ketat']","['situasi', 'gawat', 'positip', 'lonjak', 'mempan', 'perintah', 'hrs', 'tindak', 'ketat', 'seblm', 'ledak', 'china', 'positip', 'kota', 'dilockdown', 'ketat']",situasi gawat positip lonjak mempan perintah hrs tindak ketat seblm ledak china positip kota dilockdown ketat,negatif
Sabtu  Hari raya rindu Barangkali PSBB berlalu kita bisa bertemu ? Martabak manis kesukaanmu Dan secangkir kopi favorulitku,Sabtu Hari raya rindu Barangkali PSBB berlalu kita bisa bertemu ? Martabak manis kesukaanmu Dan secangkir kopi favorulitku,Sabtu Hari raya rindu Barangkali PSBB berlalu kita bisa bertemu ? Martabak manis kesukaanmu Dan secangkir kopi favorulitku,sabtu hari raya rindu barangkali psbb berlalu kita bisa bertemu  martabak manis kesukaanmu dan secangkir kopi favorulitku,"['sabtu', 'hari', 'raya', 'rindu', 'barangkali', 'psbb', 'berlalu', 'kita', 'bisa', 'bertemu', 'martabak', 'manis', 'kesukaanmu', 'dan', 'secangkir', 'kopi', 'favorulitku']","['sabtu', 'hari', 'raya', 'rindu', 'barangkali', 'psbb', 'berlalu', 'kita', 'bisa', 'bertemu', 'martabak', 'manis', 'kesukaanmu', 'dan', 'secangkir', 'kopi', 'favorulitku']","['sabtu', 'hari', 'raya', 'rindu', 'barangkali', 'psbb', 'lalu', 'kita', 'bisa', 'temu', 'martabak', 'manis', 'suka', 'dan', 'cangkir', 'kopi', 'favorulitku']","['raya', 'rindu', 'barangkali', 'temu', 'martabak', 'manis', 'suka', 'cangkir', 'kopi', 'favorulitku']",raya rindu barangkali temu martabak manis suka cangkir kopi favorulitku,positif
Paket kok ga update2 dari tgl 14 masa cuma sampe bandung terus. Pdahal estimasi smpe tgl 15 januari lo. Jgn bilang psbb. Karena ekspedisi lain semua mengalami psbb tapi bisa sampe tepat waktu. Tolong tingkatin pelayanannya. Kalo ada pilihan lain mah @JNECare,Paket kok ga update2 dari tgl 14 masa cuma sampe bandung terus. Pdahal estimasi smpe tgl 15 januari lo. Jgn bilang psbb. Karena ekspedisi lain semua mengalami psbb tapi bisa sampe tepat waktu. Tolong tingkatin pelayanannya. Kalo ada pilihan lain mah,Paket kok ga update2 dari tgl 14 masa cuma sampe bandung terus. Pdahal estimasi smpe tgl 15 januari lo. Jgn bilang psbb. Karena ekspedisi lain semua mengalami psbb tapi bisa sampe tepat waktu. Tolong tingkatin pelayanannya. Kalo ada pilihan lain mah,paket kok ga update  dari tgl   masa cuma sampe bandung terus pdahal estimasi smpe tgl   januari lo jgn bilang psbb karena ekspedisi lain semua mengalami psbb tapi bisa sampe tepat waktu tolong tingkatin pelayanannya kalo ada pilihan lain mah,"['paket', 'kok', 'ga', 'update', 'dari', 'tgl', 'masa', 'cuma', 'sampe', 'bandung', 'terus', 'pdahal', 'estimasi', 'smpe', 'tgl', 'januari', 'lo', 'jgn', 'bilang', 'psbb', 'karena', 'ekspedisi', 'lain', 'semua', 'mengalami', 'psbb', 'tapi', 'bisa', 'sampe', 'tepat', 'waktu', 'tolong', 'tingkatin', 'pelayanannya', 'kalo', 'ada', 'pilihan', 'lain', 'mah']","['paket', 'kok', 'tidak', 'update', 'dari', 'tanggal', 'masa', 'cuma', 'sampai', 'bandung', 'terus', 'pdahal', 'estimasi', 'sampai', 'tanggal', 'januari', 'lo', 'jangan', 'bilang', 'psbb', 'karena', 'ekspedisi', 'lain', 'semua', 'mengalami', 'psbb', 'tapi', 'bisa', 'sampai', 'tepat', 'waktu', 'tolong', 'tingkatin', 'pelayanannya', 'kalo', 'ada', 'pilihan', 'lain', 'mah']","['paket', 'kok', 'tidak', 'update', 'dari', 'tanggal', 'masa', 'cuma', 'sampai', 'bandung', 'terus', 'pdahal', 'estimasi', 'sampai', 'tanggal', 'januari', 'lo', 'jangan', 'bilang', 'psbb', 'karena', 'ekspedisi', 'lain', 'semua', 'alami', 'psbb', 'tapi', 'bisa', 'sampai', 'tepat', 'waktu', 'tolong', 'tingkatin', 'layan', 'kalo', 'ada', 'pilih', 'lain', 'mah']","['paket', 'bandung', 'pdahal', 'estimasi', 'januari', 'ekspedisi', 'alami', 'tolong', 'tingkatin', 'layan', 'pilih']",paket bandung pdahal estimasi januari ekspedisi alami tolong tingkatin layan pilih,negatif
PSBB hari ke-enam..  https://t.co/Jgb57g75fb,PSBB hari ke-enam.. https //t.co/Jgb57g75fb,PSBB hari ke-enam.. https //t.co/Jgb57g75fb,psbb hari keenam   tcojgb g fb,"['psbb', 'hari', 'keenam', 'tcojgb', 'g', 'fb']","['psbb', 'hari', 'keenam', 'tcojgb', 'g', 'fb']","['psbb', 'hari', 'enam', 'tcojgb', 'g', 'fb']","['enam', 'tcojgb', 'fb']",enam tcojgb fb,netral
"@JogjaUpdate Jogja ora psbb, tp psim","Jogja ora psbb, tp psim","Jogja ora psbb, tp psim",jogja ora psbb tp psim,"['jogja', 'ora', 'psbb', 'tp', 'psim']","['jogja', 'ora', 'psbb', 'tp', 'psim']","['jogja', 'ora', 'psbb', 'tp', 'psim']","['jogja', 'ora', 'psim']",jogja ora psim,negatif
"Sudah sabtu nih, masih PSBB. Kalau bosen dirumah, biasanya pain?? Cerita donk di #BaliSelamatPagi sekalian request lagu!!!  Nama umur alamat Pendapat Lagu!!  https://t.co/hAqJy7Hgl6","Sudah sabtu nih, masih PSBB. Kalau bosen dirumah, biasanya pain?? Cerita donk di sekalian request lagu!!! Nama umur alamat Pendapat Lagu!! https //t.co/hAqJy7Hgl6","Sudah sabtu nih, masih PSBB. Kalau bosen dirumah, biasanya pain?? Cerita donk di sekalian request lagu!!! Nama umur alamat Pendapat Lagu!! https //t.co/hAqJy7Hgl6",sudah sabtu nih masih psbb kalau bosen dirumah biasanya pain cerita donk di sekalian request lagu nama umur alamat pendapat lagu   tcohaqjy hgl ,"['sudah', 'sabtu', 'nih', 'masih', 'psbb', 'kalau', 'bosen', 'dirumah', 'biasanya', 'pain', 'cerita', 'donk', 'di', 'sekalian', 'request', 'lagu', 'nama', 'umur', 'alamat', 'pendapat', 'lagu', 'tcohaqjy', 'hgl']","['sudah', 'sabtu', 'nih', 'masih', 'psbb', 'kalau', 'bosen', 'dirumah', 'biasanya', 'pain', 'cerita', 'donk', 'di', 'sekalian', 'request', 'lagu', 'nama', 'umur', 'alamat', 'pendapat', 'lagu', 'tcohaqjy', 'hgl']","['sudah', 'sabtu', 'nih', 'masih', 'psbb', 'kalau', 'bosen', 'rumah', 'biasa', 'pain', 'cerita', 'donk', 'di', 'sekali', 'request', 'lagu', 'nama', 'umur', 'alamat', 'dapat', 'lagu', 'tcohaqjy', 'hgl']","['bosen', 'rumah', 'pain', 'cerita', 'request', 'lagu', 'umur', 'alamat', 'lagu', 'tcohaqjy', 'hgl']",bosen rumah pain cerita request lagu umur alamat lagu tcohaqjy hgl,netral
@antaranews @RubenLumalessi1 Cuma sekolah yg psbb.....lainnya nol ...bodoh luuu,Cuma sekolah yg psbb.....lainnya nol ...bodoh luuu,Cuma sekolah yg psbb.....lainnya nol ...bodoh luuu,cuma sekolah yg psbblainnya nol bodoh luuu,"['cuma', 'sekolah', 'yg', 'psbblainnya', 'nol', 'bodoh', 'luuu']","['cuma', 'sekolah', 'yg', 'psbblainnya', 'nol', 'bodoh', 'luuu']","['cuma', 'sekolah', 'yg', 'psbblainnya', 'nol', 'bodoh', 'luuu']","['sekolah', 'psbblainnya', 'nol', 'bodoh', 'luuu']",sekolah psbblainnya nol bodoh luuu,negatif
"@heavensighs @_seaturtle084 Wkwk apanya di besar2rin wong mereka emang mlnggar kok.. pas psbb diperketat ngumpul2, yg sudah di vaksin ikut ngumpul jg. Haddeh","Wkwk apanya di besar2rin wong mereka emang mlnggar kok.. pas psbb diperketat ngumpul2, yg sudah di vaksin ikut ngumpul jg. Haddeh","Wkwk apanya di besar2rin wong mereka emang mlnggar kok.. pas psbb diperketat ngumpul2, yg sudah di vaksin ikut ngumpul jg. Haddeh",wkwk apanya di besar rin wong mereka emang mlnggar kok pas psbb diperketat ngumpul  yg sudah di vaksin ikut ngumpul jg haddeh,"['wkwk', 'apanya', 'di', 'besar', 'rin', 'wong', 'mereka', 'emang', 'mlnggar', 'kok', 'pas', 'psbb', 'diperketat', 'ngumpul', 'yg', 'sudah', 'di', 'vaksin', 'ikut', 'ngumpul', 'jg', 'haddeh']","['wkwk', 'apanya', 'di', 'besar', 'rin', 'wong', 'mereka', 'emang', 'mlnggar', 'kok', 'pas', 'psbb', 'diperketat', 'ngumpul', 'yg', 'sudah', 'di', 'vaksin', 'ikut', 'ngumpul', 'jg', 'haddeh']","['wkwk', 'apa', 'di', 'besar', 'rin', 'wong', 'mereka', 'emang', 'mlnggar', 'kok', 'pas', 'psbb', 'ketat', 'ngumpul', 'yg', 'sudah', 'di', 'vaksin', 'ikut', 'ngumpul', 'jg', 'haddeh']","['rin', 'emang', 'mlnggar', 'ketat', 'ngumpul', 'vaksin', 'ngumpul', 'haddeh']",rin emang mlnggar ketat ngumpul vaksin ngumpul haddeh,positif
